"","asymp","com","com.noadjust","nn"
"1","-3.038(0.135)","-3.001(0.079)","-3.096(0.094)","-3.06(0.09)"
"2","0.27(0.12)","0.279(0.082)","0.249(0.108)","0.264(0.106)"
