"","asymp","com","com.noadjust","nn"
"1","-3.015(0.113)","-2.998(0.084)","-3.053(0.101)","-3.021(0.098)"
"2","0.276(0.115)","0.277(0.089)","0.285(0.106)","0.298(0.102)"
