"","asymp","com","com.noadjust","nn"
"1","-3.023(0.396)","-3.08(0.347)","-3.119(0.429)","-2.515(0.214)"
"2","0.247(0.365)","0.283(0.354)","0.336(0.416)","0.081(0.153)"
