"","asymp","com","com.noadjust","nn"
"1","-3.069(0.373)","-3.032(0.334)","-3.076(0.382)","-2.629(0.211)"
"2","0.514(0.435)","0.519(0.411)","0.531(0.444)","0.108(0.171)"
