"","asymp","com","com.noadjust","nn"
"1","-2.99(0.337)","-3.057(0.295)","-3.109(0.377)","-2.64(0.222)"
"2","0.207(0.322)","0.266(0.319)","0.327(0.377)","0.108(0.174)"
